Year,Competition,Guidelines,Brewer,Beer,Flight Medal,BOS Medal
2010,London & Southeast,NGWBJ,Pete Hughes,Riwaka APA,gold,gold
2010,London & Southeast,NGWBJ,Rob Case,Good Companions Old Ale,silver,
2010,London & Southeast,NGWBJ,Nick Addington,Hoppiness Is An IPA,gold,
2010,London & Southeast,NGWBJ,Nick Addington,Simcoe Amber,silver,
2010,London & Southeast,NGWBJ,Nick Reese,Imperial Stout,gold,
2010,London & Southeast,NGWBJ,Mick Harrison,Independence Pale Ale,silver,
2011,London & Southeast,BJCP 2008,David Wilton,Little Brother,silver,
2011,London & Southeast,BJCP 2008,Gregg Irwin,Decadence Stout,gold,
2011,London & Southeast,BJCP 2008,Gregg Irwin,Roaring Queen,silver,
2011,London & Southeast,BJCP 2008,Paul Henderson,Left Over IPA,gold,
2011,London & Southeast,BJCP 2008,Simon Poffley,Higham Hill Special,gold,
2011,London & Southeast,BJCP 2008,Bryan Spooner,Barley One,silver,
2011,UK National Homebrew Competition,BJCP 2008,Dave Halse,DHA LAG,gold,
2011,UK National Homebrew Competition,BJCP 2008,Richard Pearce,Comp APA,gold,
2011,UK National Homebrew Competition,BJCP 2008,David Wilton,Summer Citra,gold,
2011,London & Southeast,BJCP 2008,Mick Harrison,Street Party Bitter,bronze,
2011,London & Southeast,BJCP 2008,Mick Harrison,Howard Hughes Ruby Mild,bronze,
2011,London & Southeast,BJCP 2008,Tom Greasley,Sarcastro Stout,gold,gold
2011,London & Southeast,BJCP 2008,Rob Case,Scarecrow Mild,gold,
2011,London & Southeast,BJCP 2008,Rob Case,Passing Time,bronze,
2012,London & Southeast,BJCP 2008,Ken Bazley,Polish Bitter,gold,
2012,UK National Homebrew Competition,BJCP 2008,Dave Halse,Mysmokedporter,bronze,
2012,UK National Homebrew Competition,BJCP 2008,Dave Halse,Mybarleywine,silver,
2012,UK National Homebrew Competition,BJCP 2008,Ken Bazley,Coconut Porter,gold,
2012,UK National Homebrew Competition,BJCP 2008,Ken Bazley,Altbier,bronze,
2012,UK National Homebrew Competition,BJCP 2008,Tom Greasley,The Red Scare,bronze,
2012,UK National Homebrew Competition,BJCP 2008,Richard Pearce,Strong Bitter,bronze,
2012,UK National Homebrew Competition,BJCP 2008,Matt Barker,Disconnecty Belgian IPA,gold,
2012,UK National Homebrew Competition,BJCP 2008,Matt Barker,Prodigal American Pale Ale,silver,
2012,UK National Homebrew Competition,BJCP 2008,Mark Charlwood,Summer Pale,silver,
2012,UK National Homebrew Competition,BJCP 2008,Bryan Spooner,Sadako Imperial Stout,bronze,
2012,London & Southeast,BJCP 2008,Dave Halse,Wood-aged Chocolate Stout,bronze,
2012,London & Southeast,BJCP 2008,Dave Halse,Belgian Pale Ale,silver,
2012,London & Southeast,BJCP 2008,Dave Halse,Smoked Porter,gold,
2012,London & Southeast,BJCP 2008,Peter Bamford,Coconut Porter,silver,
2012,London & Southeast,BJCP 2008,Andy Parker,American IPA,bronze,
2012,UK National Homebrew Competition,BJCP 2008,Dave Halse,Mystrawraspb,gold,bronze
2012,London & Southeast,BJCP 2008,Paul Henderson,Mild,bronze,
2012,London & Southeast,BJCP 2008,Drew Wnek,Happy Thanksgiving London,gold,
2012,London & Southeast,BJCP 2008,Paul Spearman,ESB,bronze,
2012,London & Southeast,BJCP 2008,Tom Johnstone,Kolsch,bronze,
2012,London & Southeast,BJCP 2008,Rob Case,Robust Porter,gold,
2013,London & Southeast,BJCP 2008,Dave Halse,Belgian Pale Ale,silver,
2013,Essex Wine Federation Annual Show,NGWBJ,Ken Bazley,Boho Pils,silver,
2013,Essex Wine Federation Annual Show,NGWBJ,Ken Bazley,Extra Stout,gold,
2013,Essex Wine Federation Annual Show,NGWBJ,Ken Bazley,Hop Gun,gold,
2013,Essex Wine Federation Annual Show,NGWBJ,Ken Bazley,Admiral IPA,gold,
2013,UK National Homebrew Competition,BJCP 2008,Richard Pearce,Bristol Homebrew Comp APA,silver,
2013,UK National Homebrew Competition,BJCP 2008,David Wilton,Summer Citra,silver,
2013,UK National Homebrew Competition,BJCP 2008,Dave Halse,DHA SP,bronze,
2013,UK National Homebrew Competition,BJCP 2008,Dave Halse,DHA LAG,gold,
2013,London & Southeast,BJCP 2008,Andy Parker,Imperial IPA,silver,
2013,London & Southeast,BJCP 2008,Sean Cummins,Smooth Black (Stout),bronze,
2013,London & Southeast,BJCP 2008,Drew Wnek,Naturale De Cherry,bronze,
2013,London & Southeast,BJCP 2008,Mark Vincent,Spring Heeled Jack (Bitter),gold,
2013,London & Southeast,BJCP 2008,Mike Carter,X Wye Z (ESB),silver,
2013,London & Southeast,BJCP 2008,Jonathan Stewart,Urban Fox Black IPA,gold,
2013,London & Southeast,BJCP 2008,Darren Oakley,Late Summer Blonde,silver,
2013,London & Southeast,BJCP 2008,Darren Oakley,"American Pale (Citra, Simcoe)",gold,silver
2013,London & Southeast,BJCP 2008,Andy Ortega,Easy Drinker,silver,
2013,London & Southeast,BJCP 2008,Pete Hughes,Better Than Dave’s Porter,bronze,
2013,London & Southeast,BJCP 2008,Mick Harrison,Choccy Woccy Stout,silver,
2013,London & Southeast,BJCP 2008,Mick Harrison,Farmgirl Saison,gold,
2013,London & Southeast,BJCP 2008,Rich Lock,Hop You (IPA),gold,
2013,London & Southeast,BJCP 2008,Lee Immins,Emergency Summer IPA,bronze,
2013,London & Southeast,BJCP 2008,Lee Immins,Campfire Stout,silver,
2013,London & Southeast,BJCP 2008,Phill Turner,Amazin’ Saisin,silver,
2013,London & Southeast,BJCP 2008,Dave Halse,Am Pils,bronze,
2013,London & Southeast,BJCP 2008,Dave Halse,Belgian Dark Star,silver,
2013,London & Southeast,BJCP 2008,Dave Halse,Barley Wine,gold,gold
2013,London & Southeast,BJCP 2008,Dave Halse,Stout,gold,bronze
2014,London & Southeast,BJCP 2008,Phill Turner,Eltham Special Bitter,bronze,
2014,London & Southeast,BJCP 2008,Phill Turner,Eva Pils,silver,
2014,UK National Homebrew Competition,BJCP 2008,Paul Spearman,Roggenbier,bronze,
2014,UK National Homebrew Competition,BJCP 2008,Andrew Drinkwater,Hello My Name Is Ineta,bronze,
2014,UK National Homebrew Competition,BJCP 2008,Andrew Drinkwater,Garden Herb Saison,gold,
2014,UK National Homebrew Competition,BJCP 2008,Rich Lock,Retribution IPA,gold,
2014,UK National Homebrew Competition,BJCP 2008,Rich Lock,Retribution RIS,gold,
2014,UK National Homebrew Competition,BJCP 2008,Lee Immins,Simian's Wee Heavy,gold,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Essex Barleywine,silver,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Chien Noir,silver,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Eva Pils,silver,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,1835,gold,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Vest Male Dubbel,gold,silver
2014,London & Southeast,BJCP 2008,Joshua Walker,Brown Ale,bronze,
2014,London & Southeast,BJCP 2008,Paul Henderson,Wisp of Smoke,bronze,
2014,London & Southeast,BJCP 2008,Mark Vincent,7305 Days of Bliss,silver,
2014,London & Southeast,BJCP 2008,Jonathan Stewart,Urban Fox,gold,bronze
2014,London & Southeast,BJCP 2008,Andrew Drinkwater,Saison A,silver,
2014,London & Southeast,BJCP 2008,Andrew Drinkwater,Shepherds Bush Common,gold,
2014,London & Southeast,BJCP 2008,Andy Ortega,Beauty,bronze,
2014,London & Southeast,BJCP 2008,Andy Ortega,Classic Saison,gold,silver
2014,London & Southeast,BJCP 2008,Josh Smith,Sasquatch Black IPA,gold,gold
2014,London & Southeast,BJCP 2008,Rich Lock,Retribution East India Porter,silver,
2014,London & Southeast,BJCP 2008,Lee Immins,Old Bastard,silver,
2014,London & Southeast,BJCP 2008,Lee Immins,Simian's Wee Heavy,gold,
2014,London & Southeast,BJCP 2008,Phill Turner,Musketeer,bronze,
2014,London & Southeast,BJCP 2008,Andy Parker,West Coast IPA,silver,
2014,London & Southeast,BJCP 2008,Craig Carmichael,Twos And Threes,gold,
2014,London & Southeast,BJCP 2008,Andrew Backwell,Letterbox Oatmeal Stout,silver,
2014,London & Southeast,BJCP 2008,Paul Evans,Abbaye De Morden Tripel,bronze,
2014,London & Southeast,BJCP 2008,Alex Gardiner,Liberty Cream Ale,bronze,
2014,London & Southeast,BJCP 2008,Dan Harris,String Theory,bronze,
2014,London & Southeast,BJCP 2008,Phill Turner,Essex Barleywine,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,John Lathouwers,The 1881,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Manmohan Birdi,Man's IBS,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Barry Watts,Black Rod,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Todd Buchanan,T Black C,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Jonathan Goulding,DW Porter,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Nick Reese,White Top,bronze,
2015,Black Friday Homebrew Competition,BJCP 2015,Sean Cummins,Expresso Stout,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Mike Carter,Black Beauty,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Jeremiah Petersen,Domestic Tragedy,bronze,
2015,Black Friday Homebrew Competition,BJCP 2015,Jeremiah Petersen,Bildungsroman,gold,gold
2015,Black Friday Homebrew Competition,BJCP 2015,Rich Lock,Imperial Black Rye IPA,gold,silver
2015,Black Friday Homebrew Competition,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,gold,bronze
2015,Black Friday Homebrew Competition,BJCP 2015,Lee Immins,Tramp Hair Treacle Stout,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Phill Turner,1835 English Porter,silver,
2015,IV. Hrvatsko Homebrew Prvenstvo,BJCP 2008,Lee Immins,Imperious Old Bastard,silver,
2015,London & Southeast,BJCP 2008,Ken Bazley,LARISBRIS,silver,silver
2015,IV. Hrvatsko Homebrew Prvenstvo,BJCP 2008,Lee Immins,Black Ryeday Rye Stout,bronze,
2015,IV. Hrvatsko Homebrew Prvenstvo,BJCP 2008,Manmohan Birdi,Man's IBS,bronze,
2015,Bexley Festival,NGWBJ,Dave Halse,Smoked Porter,gold,gold
2015,London & Southeast,BJCP 2008,Lee Immins,Marooned Baboon Bitter,gold,
2015,London & Southeast,BJCP 2008,Lee Immins,1823,silver,
2015,London & Southeast,BJCP 2008,Lee Immins,Imperious Old Bastard,bronze,
2015,London & Southeast,BJCP 2008,Alex Allen,Sinead O'Stout,bronze,
2015,London & Southeast,BJCP 2008,Paul Evans,St Jude's Lager,bronze,
2015,London & Southeast,BJCP 2008,Joshua Walker,Barleywine,gold,
2015,London & Southeast,BJCP 2008,Sean Cummins,Rye Beer,silver,
2015,London & Southeast,BJCP 2008,Jonathan Finch,Three Graces IPA,bronze,
2015,London & Southeast,BJCP 2008,Jonathan Finch,Burton-on-Thames IPA,silver,
2015,London & Southeast,BJCP 2008,Drew Wnek,Lea Valley Steam,bronze,
2015,London & Southeast,BJCP 2008,Paul Spearman,Paul's IBS,bronze,
2015,London & Southeast,BJCP 2008,Paul Spearman,Paul's Bierre De Garde,gold,
2015,London & Southeast,BJCP 2008,Mike Carter,Pick Me Up,gold,
2015,London & Southeast,BJCP 2008,Josh Smith,Red Ruin & Redemption,bronze,
2015,London & Southeast,BJCP 2008,Josh Smith,Tesselation IPA,silver,
2015,London & Southeast,BJCP 2008,Mick Harrison,Southwold Pirate,bronze,
2015,London & Southeast,BJCP 2008,Mick Harrison,SpringBock,gold,bronze
2015,London & Southeast,BJCP 2008,Rich Lock,Retribution Saison,bronze,
2015,London & Southeast,BJCP 2008,Rich Lock,Pale Retribution,silver,
2015,UK National Homebrew Competition,BJCP 2015,Jacques Marais,Es Weiss Zwei,bronze,
2015,UK National Homebrew Competition,BJCP 2015,Tim Weenink,Velomobile,bronze,
2015,UK National Homebrew Competition,BJCP 2015,Jonathan Finch,Camberwell Fuggly,bronze,
2015,UK National Homebrew Competition,BJCP 2015,Jonathan Finch,Three Graces Tripel,silver,
2015,UK National Homebrew Competition,BJCP 2015,Ken Bazley,LARISBRIS,silver,
2015,UK National Homebrew Competition,BJCP 2015,Lee Immins,Fox & Groot,gold,
2015,UK National Homebrew Competition,BJCP 2015,Phill Turner,Gone For An Old Burton,silver,
2015,UK National Homebrew Competition,BJCP 2015,Phill Turner,Vest Male Tripel,gold,4th
2015,Black Friday Homebrew Competition,BJCP 2015,Claire Russell,Texas Tea,bronze,
2015,Black Friday Homebrew Competition,BJCP 2015,Steven Foster,Peckham Porter,silver,
2016,Brew Brighton,BJCP 2015,Mark Charlwood,New England IPA,bronze,
2016,Black Friday,BJCP 2015,Jeremiah Petersen,Milk Stout,bronze,
2016,Black Friday,BJCP 2015,Jeremiah Petersen,Chocolate Imperial Stout,gold,gold
2016,Black Friday,BJCP 2015,Fraser Withers,Harry Porter And The Goblet Of Fire,silver,
2016,Black Friday,BJCP 2015,Fraser Withers,Black Cat,gold,bronze
2016,Black Friday,BJCP 2015,Phill Turner,Georgijs Voshington Porter,gold,
2016,Black Friday,BJCP 2015,Phill Turner,Old Bastards Fag End,silver,
2016,Black Friday,BJCP 2015,Rob Gallagher,Kafka’s Dark Menace,silver,
2016,Black Friday,BJCP 2015,Mike Carter,You Do Something To Me,silver,
2016,Black Friday,BJCP 2015,Mike Carter,Black Diamond,bronze,
2016,Black Friday,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,bronze,
2016,Black Friday,BJCP 2015,Lee Immins,Tramp Hair Treacle Stout,gold,
2016,Black Friday,BJCP 2015,Richard Conroy,Barclay Perkins 1859 Export India Porter,bronze,
2016,Black Friday,BJCP 2015,Mark Sanderson,Eclipse,gold,
2016,Black Friday,BJCP 2015,Mark Charlwood,Dark Mild,silver,
2016,Black Friday,BJCP 2015,Tim Weenink,Dray Cart,silver,
2016,Black Friday,BJCP 2015,Alex Allen,Milk Stout,bronze,
2016,Black Friday,BJCP 2015,John Kellett,Oaty Cokey Resurrection,bronze,
2016,Black Friday,BJCP 2015,Josh Smith,Bourbon Borough Stout,gold,
2016,Black Friday,BJCP 2015,Stew Horne,Grubelsucht,gold,
2016,Black Friday,BJCP 2015,Paul Spearman,Paul’s Munich Dunkel,silver,
2016,Black Friday,BJCP 2015,Sasha Maznov,Grapefruit Ipa,silver,
2016,Bexley Festival,NGWBJ,Mark Sanderson,Other Beer (Kolsch),gold,gold
2016,Bexley Festival,NGWBJ,Phill Turner,Bitter,gold,
